2023-10-10 13:37:56,217 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Sampling Rollout time per step') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'rollouts', 'y': 'time per rollout', 'stroke': None}, 'stringSettings': {'title': 'Sampling time per Step'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Sampling Rollout time per step_table'}], 'fields': []}]}]}}} None
2023-10-10 13:37:56,687 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average value') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Value', 'stroke': None}, 'stringSettings': {'title': 'Average value'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average value_table'}], 'fields': []}]}]}}} None
2023-10-10 13:37:57,174 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average returns') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Returns', 'stroke': None}, 'stringSettings': {'title': 'Average returns'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average returns_table'}], 'fields': []}]}]}}} None
2023-10-10 13:38:25,242 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Sampling Rollout time per step') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'rollouts', 'y': 'time per rollout', 'stroke': None}, 'stringSettings': {'title': 'Sampling time per Step'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Sampling Rollout time per step_table'}], 'fields': []}]}]}}} None
2023-10-10 13:38:25,760 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average value') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Value', 'stroke': None}, 'stringSettings': {'title': 'Average value'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average value_table'}], 'fields': []}]}]}}} None
2023-10-10 13:38:26,152 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average returns') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Returns', 'stroke': None}, 'stringSettings': {'title': 'Average returns'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average returns_table'}], 'fields': []}]}]}}} None
2023-10-10 13:38:54,614 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Sampling Rollout time per step') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'rollouts', 'y': 'time per rollout', 'stroke': None}, 'stringSettings': {'title': 'Sampling time per Step'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Sampling Rollout time per step_table'}], 'fields': []}]}]}}} None
2023-10-10 13:38:55,114 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average value') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Value', 'stroke': None}, 'stringSettings': {'title': 'Average value'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average value_table'}], 'fields': []}]}]}}} None
2023-10-10 13:38:55,562 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average returns') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Returns', 'stroke': None}, 'stringSettings': {'title': 'Average returns'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average returns_table'}], 'fields': []}]}]}}} None
2023-10-10 13:39:24,174 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Sampling Rollout time per step') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'rollouts', 'y': 'time per rollout', 'stroke': None}, 'stringSettings': {'title': 'Sampling time per Step'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Sampling Rollout time per step_table'}], 'fields': []}]}]}}} None
2023-10-10 13:39:24,650 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average value') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Value', 'stroke': None}, 'stringSettings': {'title': 'Average value'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average value_table'}], 'fields': []}]}]}}} None
2023-10-10 13:39:25,147 INFO    MainThread:32759 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'Average returns') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'Steps', 'y': 'Average Returns', 'stroke': None}, 'stringSettings': {'title': 'Average returns'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Average returns_table'}], 'fields': []}]}]}}} None
2023-10-10 13:39:54,948 WARNING MsgRouterThr:32759 [router.py:message_loop():77] message_loop has been closed
